IMEI,Latitude,Longitude,batteryPercentFull,batteryScale,locationTimestamp,timestamp
351554053682895,34.17980731,-119.1372011,0.91,100,1455901032,2/19/2016 8:57
351554053682895,34.17980731,-119.1372011,0.91,100,1455901037,2/19/2016 8:57
351554053682895,34.17980731,-119.1372011,0.91,100,1455901042,2/19/2016 8:57
351554053682895,34.17980731,-119.1372011,0.91,100,1455901047,2/19/2016 8:57
351554053682895,34.17980731,-119.1372011,0.91,100,1455901052,2/19/2016 8:57
351554053682895,34.17981071,-119.137093,0.9,100,1455901092,2/19/2016 8:58
351554053682895,34.17984545,-119.1373399,0.9,100,1455901425,2/19/2016 9:03
351554053682895,34.17984545,-119.1373399,0.9,100,1455901444,2/19/2016 9:04
351554053682895,34.17991326,-119.1374756,0.9,100,1455901543,2/19/2016 9:05
351554053682895,34.17991326,-119.1374756,0.9,100,1455901548,2/19/2016 9:05
351554053682895,34.17991326,-119.1374756,0.9,100,1455901553,2/19/2016 9:05
351554053682895,34.17991326,-119.1374756,0.9,100,1455901558,2/19/2016 9:05
351554053682895,34.17991326,-119.1374756,0.9,100,1455901563,2/19/2016 9:06
351554053682895,34.18012855,-119.1374243,0.9,100,1455901593,2/19/2016 9:06
351554053682895,34.18021271,-119.1373339,0.9,100,1455901729,2/19/2016 9:08
351554053682895,34.18021271,-119.1373339,0.89,100,1455901745,2/19/2016 9:09
351554053682895,34.18021271,-119.1373339,0.89,100,1455901750,2/19/2016 9:09
351554053682895,34.17985295,-119.1373772,0.89,100,1455901777,2/19/2016 9:09
351554053682895,34.17985295,-119.1373772,0.89,100,1455901795,2/19/2016 9:09
351554053682895,34.17980333,-119.1372796,0.89,100,1455901813,2/19/2016 9:10
351554053682895,34.17980333,-119.1372796,0.89,100,1455901818,2/19/2016 9:10
351554053682895,34.17971235,-119.1370217,0.89,100,1455902140,2/19/2016 9:15
351554053682895,34.17971235,-119.1370217,0.89,100,1455902145,2/19/2016 9:15
351554053682895,34.17976771,-119.1365053,0.89,100,1455902517,2/19/2016 9:21
351554053682895,34.17976771,-119.1365053,0.89,100,1455902536,2/19/2016 9:22
351554053682895,34.17967941,-119.1364326,0.89,100,1455902591,2/19/2016 9:23
351554053682895,34.17967941,-119.1364326,0.89,100,1455902611,2/19/2016 9:23
351554053682895,34.17976155,-119.1364777,0.89,100,1455902648,2/19/2016 9:24
351554053682895,34.17976155,-119.1364777,0.89,100,1455902667,2/19/2016 9:24
351554053682895,34.17979323,-119.1363262,0.89,100,1455902880,2/19/2016 9:28
351554053682895,34.17979323,-119.1363262,0.89,100,1455902899,2/19/2016 9:28
351554053682895,34.17979168,-119.1364215,0.89,100,1455903241,2/19/2016 9:34
351554053682895,34.17979168,-119.1364215,0.89,100,1455903261,2/19/2016 9:34
351554053682895,34.17984495,-119.1364753,0.89,100,1455903334,2/19/2016 9:35
351554053682895,34.17975958,-119.1364442,0.89,100,1455903363,2/19/2016 9:36
351554053682895,34.17975958,-119.1364442,0.89,100,1455903382,2/19/2016 9:36
351554053682895,34.17988577,-119.1366238,0.89,100,1455903551,2/19/2016 9:39
351554053682895,34.17988577,-119.1366238,0.89,100,1455903568,2/19/2016 9:39
351554053682895,34.17988577,-119.1366238,0.89,100,1455903573,2/19/2016 9:39
351554053682895,34.17957124,-119.136758,0.88,100,1455903601,2/19/2016 9:40
351554053682895,34.17957124,-119.136758,0.88,100,1455903621,2/19/2016 9:40
351554053682895,34.17957124,-119.136758,0.88,100,1455903626,2/19/2016 9:40
351554053682895,34.17957124,-119.136758,0.88,100,1455903954,2/19/2016 9:45
351554053682895,34.17957124,-119.136758,0.88,100,1455903959,2/19/2016 9:45
351554053682895,34.17957124,-119.136758,0.88,100,1455903964,2/19/2016 9:46
351554053682895,34.18026794,-119.1367168,0.88,100,1455903987,2/19/2016 9:46
351554053682895,34.18026794,-119.1367168,0.88,100,1455904007,2/19/2016 9:46
351554053682895,34.18026794,-119.1367168,0.88,100,1455904012,2/19/2016 9:46
351554053682895,34.17992152,-119.1366486,0.88,100,1455904321,2/19/2016 9:52
351554053682895,34.17992152,-119.1366486,0.88,100,1455904338,2/19/2016 9:52
351554053682895,34.17992152,-119.1366486,0.88,100,1455904343,2/19/2016 9:52
351554053682895,34.17976951,-119.136651,0.88,100,1455904443,2/19/2016 9:54
351554053682895,34.17976951,-119.136651,0.88,100,1455904462,2/19/2016 9:54
351554053682895,34.17976951,-119.136651,0.88,100,1455904467,2/19/2016 9:54
351554053682895,34.17984906,-119.136683,0.88,100,1455904486,2/19/2016 9:54
351554053682895,34.17984906,-119.136683,0.88,100,1455904491,2/19/2016 9:54
351554053682895,34.17993547,-119.1367416,0.88,100,1455904515,2/19/2016 9:55
351554053682895,34.17993547,-119.1367416,0.88,100,1455904532,2/19/2016 9:55
351554053682895,34.17993547,-119.1367416,0.88,100,1455904537,2/19/2016 9:55
351554053682895,34.17990526,-119.1366663,0.88,100,1455904674,2/19/2016 9:57
351554053682895,34.17990526,-119.1366663,0.88,100,1455904679,2/19/2016 9:57
351554053682895,34.17983514,-119.1366323,0.88,100,1455904943,2/19/2016 10:02
351554053682895,34.17983514,-119.1366323,0.88,100,1455904959,2/19/2016 10:02
351554053682895,34.17983514,-119.1366323,0.88,100,1455904964,2/19/2016 10:02
351554053682895,34.17937984,-119.1365809,0.88,100,1455905055,2/19/2016 10:04
351554053682895,34.17937984,-119.1365809,0.88,100,1455905074,2/19/2016 10:04
351554053682895,34.17947786,-119.1364369,0.88,100,1455905079,2/19/2016 10:04
351554053682895,34.17947786,-119.1364369,0.87,100,1455905097,2/19/2016 10:04
351554053682895,34.17947786,-119.1364369,0.87,100,1455905102,2/19/2016 10:05
